time,x_c,x_c_dot,theta,theta_dot,F_c,V
0.0,0.0,0.0,0.008726646259971648,0.0,0.0,0.0
0.001,6.637477902545913e-09,1.3274832063597075e-05,0.00872686751442486,0.0004425099714205824,-7.566654276250333e-07,0.0
0.002,2.6549528837643453e-08,2.654925825755359e-05,0.008727531285784055,0.0008850375515566222,-1.5133077206805546e-06,0.0
0.003,5.973608351005085e-08,3.982395172885175e-05,0.008728637602876883,0.001327605178478233,-2.26996524854455e-06,0.0
0.004,1.061977457717474e-07,5.3099585630636644e-05,0.00873018651696986,0.0017702352920398788,-3.0266763809462887e-06,0.0
0.005,5.809709811964923e-08,-0.00014929775627597306,0.008731695525347884,0.0012478064911233973,8.509972107730465e-06,-1.5125046273788998
0.006,-1.923916502502187e-07,-0.00035167674858347395,0.008732682175588051,0.0007255145982818114,2.0045574669258017e-05,-1.5125046273788998
0.007,-6.452505480309637e-07,-0.0005540381878341418,0.00873314659134544,0.00020333310861523333,3.158017670654608e-05,-1.5125046273788998
0.008,-1.3004624403382073e-06,-0.0007563828703374334,0.008733088869773286,-0.0003187644768846272,4.311382360923371e-05,-1.5125046273788998
0.009000000000000001,-2.1580109684973815e-06,-0.0009587115922102258,0.008732509081528204,-0.0008408046526757649,5.464656075598287e-05,-1.5125046273788998
0.010000000000000002,-3.217689619064965e-06,-0.0011606432527605031,0.00873140812527586,-0.0013611049223241586,6.615666540734868e-05,-1.5098264237944377
0.011000000000000003,-4.479292693892675e-06,-0.001362560572931172,0.008729786873142553,-0.001881400814959152,7.766595265707681e-05,-1.5098264237944377
0.012000000000000004,-5.942806249193044e-06,-0.0015644643458979173,0.008727645316304251,-0.0024017187326932656,8.917446771618129e-05,-1.5098264237944377
0.013000000000000005,-7.608217134335183e-06,-0.0017663553648048754,0.008724983419534515,-0.002922085078451474,0.0001006822557938779,-1.5098264237944377
0.014000000000000005,-9.475512991833244e-06,-0.0019682344228047054,0.00872180112120302,-0.003442526257307586,0.00011218936209986822,-1.5098264237944377
0.015000000000000006,-1.1544331354330855e-05,-0.0021694005161159917,0.008718099903558417,-0.003959928135630839,0.00012365582941861153,-1.5049047909592732
0.016000000000000007,-1.3814310583338643e-05,-0.0023705562872517495,0.008713881222348358,-0.004477457764354985,0.00013512170837334973,-1.5049047909592732
0.017000000000000008,-1.628544075098467e-05,-0.002571702524844016,0.008709144936692942,-0.004995141403621809,0.00014658704391610892,-1.5049047909592732
0.01800000000000001,-1.8957712718110283e-05,-0.002772840017693979,0.008703890879448487,-0.0055130053210678855,0.0001580518810085568,-1.5049047909592732
0.01900000000000001,-2.183111813445919e-05,-0.0029739695548118322,0.008698118857199372,-0.006031075793154036,0.00016951626462427443,-1.5049047909592732
0.02000000000000001,-2.490513960121949e-05,-0.003174072263309856,0.008691830931764833,-0.006544816116250303,0.0001809221190086618,-1.4977540016797986
0.02100000000000001,-2.817926056072852e-05,-0.0033741686707676076,0.008685029138541193,-0.0070588157168018995,0.00019232761423375363,-1.4977540016797986
0.022000000000000013,-3.165347510337783e-05,-0.003574259560106951,0.008677713205212458,-0.007573100674132434,0.00020373279492609623,-1.4977540016797986
0.023000000000000013,-3.532777810266205e-05,-0.0037743457146187406,0.008669882833376349,-0.008087697081711033,0.00021513770573326822,-1.4977540016797986
0.024000000000000014,-3.920216521556765e-05,-0.003974427918002392,0.008661537698529493,-0.00860263104847289,0.00022654239132613636,-1.4977540016797986
0.025000000000000015,-4.3275965362287994e-05,-0.004173171930293303,0.008652680437197876,-0.009111954462296873,0.0002378708000267183,-1.4883916112819853
0.026000000000000016,-4.754850831514445e-05,-0.004371913659572293,0.008643313659602126,-0.00962166788508779,0.0002491990785956207,-1.4883916112819853
0.027000000000000017,-5.201979217910816e-05,-0.0045706538818968126,0.008633436962804924,-0.010131797176897552,0.0002605272712681183,-1.4883916112819853
0.028000000000000018,-5.6689815835488256e-05,-0.00476939337389198,0.008623049917998633,-0.010642368218532889,0.0002718554223118429,-1.4883916112819853
0.02900000000000002,-6.155857894251919e-05,-0.004968132912789817,0.008612152070483884,-0.011153406912865016,0.00028318357602901957,-1.4883916112819853
0.03000000000000002,-6.662525821530071e-05,-0.005165225856457023,0.008600746625787971,-0.011657566972050686,0.00029441787381805036,-1.4768384213475916
0.03100000000000002,-7.18890312307239e-05,-0.005362320526020292,0.008588836763289545,-0.012162246782814105,0.00030565226998315666,-1.4768384213475916
0.03200000000000002,-7.73499000986491e-05,-0.005559417689532421,0.008576421950437861,-0.012667471947933048,0.00031688680830334803,-1.4768384213475916
0.03300000000000002,-8.30078676973687e-05,-0.005756518115811109,0.008563501629065847,-0.013173268097498239,0.00032812153260123326,-1.4768384213475916
0.03400000000000002,-8.886293767439133e-05,-0.005953622574477788,0.008550075215362147,-0.013679660890210206,0.00033935648674523393,-1.4768384213475916
0.035000000000000024,-9.49141362381744e-05,-0.006148775443177916,0.008536146477319338,-0.014177921140483007,0.00035048020026114124,-1.4631184387352818
0.036000000000000025,-0.00010116049046730498,-0.006343934031582087,0.008521719156976859,-0.014676829704801806,0.00036160423980017897,-1.4631184387352818
0.037000000000000026,-0.0001076020064608705,-0.006539099098613911,0.008506792593369424,-0.015176411891175101,0.0003727286486209929,-1.4631184387352818
0.03800000000000003,-0.00011423869107735895,-0.006734271404157392,0.00849136610020694,-0.01567669304142171,0.00038385347003697134,-1.4631184387352818
0.03900000000000003,-0.0001210705519356386,-0.0069294517090953,0.008475438965840056,-0.01617769853245284,0.00039497874741843214,-1.4631184387352818
