time,x_c,x_c_dot,theta,theta_dot,F_c,V
0.0,0.0,0.0,0.0,0.5050505050505051,0.0,0.0
0.001,2.1645660399294299e-10,6.49366378835512e-07,0.0005050559165608067,0.5050667395907793,-3.7013883593624184e-08,0.0
0.002,1.731630859310518e-09,2.597429808849611e-06,0.0010101443023956941,0.5051154438421137,-1.4805349910442783e-07,0.0
0.003,5.844217066788196e-09,5.844198520336851e-06,0.001515297628289335,0.5051966202950047,-3.3311931565920054e-07,0.0
0.004,1.385295895039277e-08,1.0389763129309695e-05,0.002020548368546745,0.5053102734996764,-5.922164983706527e-07,0.0
0.005,-4.661632511118423e-08,-0.00013110977752858914,0.002525546469313518,0.5046913502415724,7.473257319129582e-06,-0.9456502542193015
0.006,-2.479297635167679e-07,-0.00027129881766622515,0.0030299419069259215,0.504104940740245,1.5464032606974835e-05,-0.9456502542193015
0.007,-5.887776583227406e-07,-0.00041017894869372853,0.0035337671761319434,0.5035510073213401,2.338020007554253e-05,-0.9456502542193015
0.008,-1.0678518617796747e-06,-0.0005477516796027382,0.004037054735034563,0.5030295143688717,3.122184573735608e-05,-0.9456502542193015
0.009000000000000001,-1.6838456939532572e-06,-0.0006840184370444908,0.004539837007149177,0.5025404283233639,3.8989050911535976e-05,-0.9456502542193015
0.010000000000000002,-2.4691561472228635e-06,-0.0008863841947058875,0.005041971392152603,0.5017337387708288,5.052389909823559e-05,-1.3782469977509237
0.011000000000000003,-3.456177887265759e-06,-0.00108744136133347,0.005543315270366387,0.5009594063132644,6.19841575960078e-05,-1.3782469977509237
0.012000000000000004,-4.643603361601925e-06,-0.0012871920003649387,0.006043900973934483,0.5002173813899776,7.336994402080151e-05,-1.3782469977509237
0.013000000000000005,-6.030127040196731e-06,-0.0014856380932705734,0.006543760786463747,0.4995076164870445,8.468137131642269e-05,-1.3782469977509237
0.014000000000000005,-7.614445333544385e-06,-0.0016827815396542641,0.007042926945069465,0.4988300661348544,9.591854776029306e-05,-1.3782469977509237
0.015000000000000006,-9.428653761171494e-06,-0.0019454177116705346,0.007541258237596019,0.4978378811246931,0.00011088880956522048,-1.8069317396303841
0.016000000000000007,-1.1504845980349172e-05,-0.0022067495513615277,0.008038613421272808,0.4968778380442223,0.00012578472442760708,-1.8069317396303841
0.017000000000000008,-1.384171893099632e-05,-0.0024667795896456696,0.008535024607195128,0.4959498755634569,0.00014060643660980318,-1.8069317396303841
0.01800000000000001,-1.6437972043261667e-05,-0.0027255102760852514,0.009030523846144192,0.4950539343837063,0.00015535408573685933,-1.8069317396303841
0.01900000000000001,-1.9292307156230024e-05,-0.0029829439790104257,0.009525143130616894,0.49418995723452114,0.00017002780680359426,-1.8069317396303841
0.02000000000000001,-2.2436458527812965e-05,-0.003305142221863024,0.010018742902047607,0.49301490326409564,0.0001883931066461924,-2.2309083503446883
0.02100000000000001,-2.590215902366197e-05,-0.003626042733141647,0.010511183560023509,0.49187171799613477,0.00020668443578907388,-2.2309083503446883
0.022000000000000013,-2.968811241555149e-05,-0.003945648506099377,0.011002496936596546,0.4907603284652499,0.0002249019648476645,-2.2309083503446883
0.023000000000000013,-3.379302542820278e-05,-0.004263962453401608,0.011492714791859591,0.4896806637180607,0.0002430458598438917,-2.2309083503446883
0.024000000000000014,-3.821560765877008e-05,-0.004580987407273051,0.011981868815956614,0.48863265480954293,0.00026111628221456393,-2.2309083503446883
0.025000000000000015,-4.29871732644455e-05,-0.004961928712667853,0.012469821364763978,0.4872777062683575,0.0002828299366220676,-2.649392890703854
0.026000000000000016,-4.813903548556647e-05,-0.005341581219782988,0.012956434741112277,0.48595429565046205,0.0003044701295276303,-2.649392890703854
0.027000000000000017,-5.3669907255412016e-05,-0.005719948378443835,0.013441740440533957,0.48466233850603185,0.00032603705757129864,-2.649392890703854
0.028000000000000018,-5.957850491723942e-05,-0.0060970335588102385,0.013925769875106494,0.48340175237422367,0.00034753091285218363,-2.649392890703854
0.02900000000000002,-6.586354814470404e-05,-0.006472840051546593,0.014408554375439232,0.4821724567789238,0.0003689518829381558,-2.649392890703854
0.03000000000000002,-7.255587321940317e-05,-0.006911596844616063,0.014889958467578419,0.4806409272793926,0.0003939610201431156,-3.0616150924987062
0.03100000000000002,-7.968631598665145e-05,-0.0073490760932045434,0.015369846613367547,0.4791405479540341,0.000418897337312659,-3.0616150924987062
0.03200000000000002,-8.725360085852508e-05,-0.007785281697311257,0.015848249914934092,0.47767122303691173,0.0004437610567467417,-3.0616150924987062
0.03300000000000002,-9.525645610778655e-05,-0.00822021747834194,0.01632519937962115,0.47623285872438187,0.00046855239626549064,-3.0616150924987062
0.03400000000000002,-0.00010369361378938797,-0.008653887179302105,0.01680072592194729,0.4748253631702402,0.00049327156922022,-3.0616150924987062
0.035000000000000024,-0.00011259537570968716,-0.00914942563111113,0.01727469648820187,0.4731208960346279,0.0005215172609733344,-3.4668197989425424
0.036000000000000025,-0.00012199204372413941,-0.00964370009792055,0.017746977949366055,0.4714471350121434,0.0005496909055814714,-3.4668197989425424
0.037000000000000026,-0.00013188235602576057,-0.010136714922847075,0.01821760095794371,0.46980397320672557,0.0005777927506022833,-3.4668197989425424
0.03800000000000003,-0.00014226505511197714,-0.010628474371631738,0.01868659606050911,0.4681913056543409,0.0006058230391830091,-3.4668197989425424
0.03900000000000003,-0.0001531388877073592,-0.011118982632856439,0.019153993699636235,0.46660902931752646,0.000633782010072817,-3.4668197989425424
0.04000000000000003,-0.0001645335658257343,-0.01167016517871378,0.019619663485770787,0.4647355872836056,0.0006651994151866855,-3.864268361497178
